Inicio_exclusivo,Fecha,Dias_intervalo,Observado_PLM2,EE_repeticiones_PLM2,Sigma_ajuste_PLM2,Base_PLM2_ajuste,Calibrado_PLM2_ajuste,Fraccion_base_intervalo,Fraccion_calibrada_intervalo
2026-02-05,2026-02-12,7,0.0,,910.5333333333334,0.0,0.0,0.0,0.0
2026-02-12,2026-02-19,7,12.0,,910.5333333333334,360.4723906390679,91.89100421739647,0.029816569850759696,0.007600788901050193
2026-02-19,2026-02-26,7,7.0,,910.5333333333334,0.0,0.0,0.0,0.0
2026-02-26,2026-03-05,7,15.0,,910.5333333333334,1164.1821222046747,916.1791964058283,0.09629563447059536,0.07578200637507196
2026-03-05,2026-03-12,7,68.66666666666667,,910.5333333333334,19.75918780394311,22.020014383826354,0.001634386484651612,0.001821391357674021
2026-03-12,2026-03-27,15,9105.333333333334,,910.5333333333334,5389.489864688072,8205.012166335762,0.44579309035441317,0.678679767818448
2026-03-27,2026-04-10,14,1709.3333333333333,,910.5333333333334,1193.547653255163,1211.211261250987,0.09872461219679307,0.1001856622391839
2026-04-10,2026-04-23,13,333.3333333333333,,910.5333333333334,1471.7596236259235,987.7174207175913,0.12173698946421929,0.0816993096625982
2026-04-23,2026-05-11,18,321.0,,910.5333333333334,1189.3786107571746,455.5110214059801,0.09837976873560128,0.03767771552063581
2026-05-11,2026-05-28,17,217.0,,910.5333333333334,1297.5841623458343,200.11152404304497,0.10733001976998269,0.016552278037142876
2026-05-28,2026-06-12,15,101.0,,910.5333333333334,0.006434085723186342,3.84733513317433e-05,5.321971151550642e-07,3.182333507822932e-09
2026-06-12,2026-06-26,14,80.0,,910.5333333333334,0.005806296936395636,3.4682823355354955e-05,4.802693983618767e-07,2.8687989761522203e-09
2026-06-26,2026-07-08,12,40.0,,910.5333333333334,2.028510980540473,0.009779080454038042,0.00016778882631507397,8.0887924569506e-07
2026-07-08,2026-08-03,26,72.0,,910.5333333333334,1.4256535514790596,0.0032003292765636995,0.00011792331342019846,2.647160889379663e-07
2026-08-03,2026-09-01,29,0.0,,910.5333333333334,0.026646432133357423,5.340344126469887e-06,2.204066734678989e-06,4.4172798752128983e-10
2026-09-01,2026-09-16,15,8.0,,910.5333333333334,0.0,0.0,0.0,0.0
